State_Region,District,Township,Both sexes,Male,Female,Sex ratio
Kachin,Myitkyina,Myitkyina," 317,604 "," 154,047 "," 163,557 ",94.2
Kachin,Myitkyina,Waingmaw," 125,544 "," 62,465 "," 63,079 ",99
Kachin,Myitkyina,Injangyang," 1,732 ", 946 , 786 ,120.4
Kachin,Myitkyina,Tanai," 60,019 "," 31,979 "," 28,040 ",114
Kachin,Myitkyina,Chipwi," 20,039 "," 10,300 "," 9,739 ",105.8
Kachin,Myitkyina,Tsawlaw," 6,518 "," 3,351 "," 3,167 ",105.8
Kachin,Mohnyin,Mohnyin," 209,292 "," 101,598 "," 107,694 ",94.3
Kachin,Mohnyin,Mogaung," 132,608 "," 63,501 "," 69,107 ",91.9
Kachin,Mohnyin,Hpakant," 331,708 "," 210,723 "," 120,985 ",174.2
Kachin,Bhamo,Bhamo," 135,877 "," 66,718 "," 69,159 ",96.5
Kachin,Bhamo,Shwegu," 94,784 "," 47,174 "," 47,610 ",99.1
Kachin,Bhamo,Momauk," 62,914 "," 31,029 "," 31,885 ",97.3
Kachin,Bhamo,Mansi," 52,945 "," 26,156 "," 26,789 ",97.6
Kachin,Puta-O,Puta-O," 61,075 "," 30,162 "," 30,913 ",97.6
Kachin,Puta-O,Sumprabum," 2,546 "," 1,291 "," 1,255 ",102.9
Kachin,Puta-O,Machanbaw," 8,858 "," 4,455 "," 4,403 ",101.2
Kachin,Puta-O,Khaunglanhpu," 11,655 "," 5,855 "," 5,800 ",100.9
Kachin,Puta-O,Nawngmun," 7,123 "," 3,603 "," 3,520 ",102.4
Kayah,Loikaw,Loikaw," 128,401 "," 63,109 "," 65,292 ",96.7
Kayah,Loikaw,Demoso," 79,201 "," 38,936 "," 40,265 ",96.7
Kayah,Loikaw,Hpruso," 29,374 "," 14,437 "," 14,937 ",96.7
Kayah,Loikaw,Shadaw," 6,742 "," 3,351 "," 3,391 ",98.8
Kayah,Bawlake,Bawlakhe," 10,996 "," 6,072 "," 4,924 ",123.3
Kayah,Bawlake,Hpasawng," 25,594 "," 13,906 "," 11,688 ",119
Kayah,Bawlake,Mese," 6,319 "," 3,402 "," 2,917 ",116.6
